Date,T_Max,T_Min,Wind,Could,Humidity,Precip,Pressure,Weather
1/1/2010,30,22,7,4,69,0,1011,Sunny
1/2/2009,30,22,7,3,68,0,1012,Sunny
1/3/2009,30,22,7,1,68,0,1012,Sunny
1/4/2009,31,22,7,8,73,0,1011,Sunny
1/5/2009,30,23,7,29,76,0.4,1010,Partly couldy
1/6/2009,29,24,8,50,81,0.7,1010,Partly couldy
1/7/2009,29,24,11,30,81,0.7,1011,Patchy rain possible
1/8/2009,29,24,14,44,76,0.1,1012,Partly couldy
1/9/2009,28,24,14,61,86,0,1013,Partly couldy
1/10/2009,28,24,15,43,86,0,1013,Partly couldy
1/11/2009,30,23,12,9,73,0,1013,Sunny
1/12/2009,30,22,15,11,71,0,1013,Sunny
1/13/2009,29,23,17,29,76,0,1014,Sunny
1/14/2009,30,24,18,8,72,0,1014,Sunny
1/15/2009,31,23,13,7,71,0.2,1014,Sunny
1/16/2009,31,23,12,26,69,0.2,1013,Sunny
1/17/2009,30,23,12,25,71,0.2,1013,Sunny
1/18/2009,30,23,11,10,71,0,1012,Sunny
1/19/2009,31,23,9,16,71,0,1011,Sunny
1/20/2009,30,23,7,52,78,0.2,1011,Partly couldy
1/21/2009,30,23,7,30,73,0,1011,Sunny
1/22/2009,30,24,8,51,71,0,1010,Cloudy
1/23/2009,30,23,5,37,71,0.2,1010,Partly couldy
1/24/2009,30,23,8,15,71,0,1010,Sunny
1/25/2009,28,23,6,65,82,0.4,1011,Partly couldy
1/26/2009,30,24,10,29,80,0,1011,Partly couldy
1/27/2009,31,24,7,35,81,0,1011,Sunny
1/28/2009,30,23,8,28,80,0,1011,Sunny
1/29/2009,31,24,12,13,72,0,1011,Sunny
1/30/2009,31,22,13,9,64,0,1011,Sunny
1/31/2009,31,23,10,14,68,0,1011,Sunny
2/1/2009,31,23,7,22,72,0,1012,Sunny
2/2/2009,31,24,7,16,71,0.1,1012,Sunny
2/3/2009,30,23,7,6,66,0,1012,Sunny
2/4/2009,31,23,8,4,67,0,1013,Sunny
2/5/2009,30,21,6,10,68,0,1012,Sunny
2/6/2009,30,21,6,21,66,0.1,1012,Sunny
2/7/2009,30,23,8,29,66,0.2,1012,Sunny
2/8/2009,30,23,8,7,70,0,1013,Sunny
2/9/2009,31,22,8,11,68,0,1012,Sunny
2/10/2009,30,23,7,34,70,0,1012,Partly couldy
2/11/2009,31,24,7,17,70,0,1012,Sunny
2/12/2009,30,22,8,8,70,0,1012,Sunny
2/13/2009,31,23,7,13,70,0,1011,Sunny
2/14/2009,30,22,5,8,73,0,1010,Sunny
2/15/2009,31,22,6,24,73,0.2,1010,Sunny
2/16/2009,30,23,7,42,78,1.5,1010,Sunny
2/17/2009,31,23,8,61,74,0.9,1010,Partly couldy
2/18/2009,31,24,9,47,73,0.7,1009,Partly couldy
2/19/2009,31,24,9,27,75,0.1,1009,Partly couldy
2/20/2009,30,24,16,18,76,0.4,1010,Sunny
2/21/2009,31,25,15,17,74,0.1,1010,Sunny
2/22/2009,30,24,14,18,76,0.1,1009,Sunny
2/23/2009,30,24,11,23,83,0,1010,Partly couldy
2/24/2009,31,24,9,22,78,0.3,1010,Sunny
2/25/2009,31,23,5,24,83,0.6,1010,Sunny
2/26/2009,31,23,6,19,82,0,1010,Sunny
2/27/2009,31,22,7,15,80,0,1011,Sunny
2/28/2009,31,24,5,17,77,0,1010,Sunny
3/1/2009,32,23,5,7,74,0,1010,Sunny
3/2/2009,33,23,6,1,72,0,1010,Sunny
3/3/2009,33,24,7,5,73,0,1010,Sunny
3/4/2009,32,23,6,18,77,0,101,Sunny
3/5/2009,32,25,8,9,77,0.1,1010,Sunny
3/6/2009,31,23,8,17,79,0.3,1011,Sunny
3/7/2009,32,25,6,19,77,0.2,1010,Sunny
3/8/2009,32,25,8,38,77,0.7,1010,Partly couldy
3/9/2009,29,24,6,46,86,3,1010,Partly couldy
3/10/2009,26,24,8,38,89,4.7,1011,Partly couldy
3/11/2009,30,24,12,16,78,0,1011,Sunny
3/12/2009,29,24,8,34,82,0.1,1012,Partly couldy
3/13/2009,30,24,7,22,83,0,1012,Sunny
3/14/2009,30,24,9,19,83,0,1012,Sunny
3/15/2009,31,24,7,16,80,1.5,1011,Sunny
3/16/2009,30,24,6,24,84,0.4,1010,Sunny
3/17/2009,30,24,5,24,82,0.7,1010,Sunny
3/18/2009,31,24,6,24,80,0.5,1010,Sunny
3/19/2009,31,24,5,23,82,1.9,1010,Sunny
3/20/2009,30,23,6,21,84,1.2,1011,Sunny
3/21/2009,32,23,6,26,82,1.5,1010,Sunny
3/22/2009,30,24,8,23,80,0.7,1010,Sunny
3/23/2009,30,24,7,41,82,1.1,1011,Partly couldy
3/24/2009,27,25,5,61,88,0.4,1012,Partly couldy
3/25/2009,30,25,8,36,83,1.4,1011,Partly couldy
3/26/2009,30,25,7,41,84,0,1011,Partly couldy
3/27/2009,26,25,4,61,89,3,1011,Partly couldy
3/28/2009,30,24,4,49,84,1.4,1011,Partly couldy
3/29/2009,30,24,5,24,83,0.3,1010,Sunny
3/30/2009,30,23,6,15,83,0.5,1010,Sunny
3/31/2009,29,25,6,21,84,1.6,1008,Partly couldy
4/1/2009,31,25,7,19,81,2.1,1008,Sunny
4/2/2009,31,25,7,19,81,2.3,1009,Sunny
4/3/2009,32,25,9,26,83,4.4,1010,Partly couldy
4/4/2009,29,24,13,41,86,0.5,1010,Partly couldy
4/5/2009,30,25,10,37,80,0.4,1010,Partly couldy
4/6/2009,31,24,4,31,83,0.9,1009,Partly couldy
4/7/2009,31,24,4,30,84,0.1,1008,Partly couldy
4/8/2009,30,25,4,35,84,0.3,1008,Partly couldy
4/9/2009,31,25,8,41,83,1.9,1008,Partly couldy
4/10/2009,30,25,9,40,85,2.3,1008,Partly couldy
4/11/2009,30,24,6,36,85,0,1007,Partly couldy
4/12/2009,29,25,12,33,86,0,1007,Partly couldy
4/13/2009,30,25,17,32,82,0,1007,Partly couldy
4/14/2009,31,26,19,26,79,0,1007,Sunny
4/15/2009,31,26,17,23,80,0.5,1008,Sunny
4/16/2009,31,27,14,21,80,0,1007,Sunny
4/17/2009,30,27,12,23,81,0.1,1007,Sunny
4/18/2009,31,26,9,17,80,0,1009,Sunny
4/19/2009,29,25,6,25,83,3,1011,Sunny
4/20/2009,30,26,11,32,80,0.7,1011,Partly couldy
4/21/2009,30,25,13,17,79,0,1009,Sunny
4/22/2009,29,25,13,43,84,0.7,1011,Sunny
4/23/2009,29,26,13,28,83,0,1011,Sunny
4/24/2009,31,26,13,7,78,0,1010,Sunny
4/25/2009,31,27,12,10,77,0,1010,Sunny
4/26/2009,30,26,9,17,81,0.7,1010,Sunny
4/27/2009,29,25,6,40,85,2.2,1010,Partly couldy
4/28/2009,30,26,9,24,81,0.4,1011,Sunny
4/29/2009,30,25,13,12,77,0.5,1012,Sunny
4/30/2009,29,26,13,33,79,0.6,1011,Sunny
5/1/2009,28,26,13,35,83,1.3,1011,Partly couldy
5/2/2009,30,26,12,27,81,0,1012,Sunny
5/3/2009,29,26,12,61,85,1.8,1011,Cloudy
5/4/2009,29,26,12,43,82,0,101,Partly couldy
5/5/2009,29,25,12,40,83,0,1011,Partly couldy
5/6/2009,29,26,11,48,85,0,1010,Partly couldy
5/7/2009,29,25,12,55,86,0.1,1009,Partly couldy
5/8/2009,29,26,11,61,87,2.2,1009,Light rain shower
5/9/2009,29,25,14,63,86,0.8,1009,Partly couldy
5/10/2009,29,26,15,50,84,0,1008,Partly couldy
5/11/2009,31,26,15,33,82,0,1008,Partly couldy
5/12/2009,29,26,16,57,84,0,1008,Partly couldy
5/13/2009,30,26,16,36,81,0,1007,Sunny
5/14/2009,30,26,17,42,82,0,1007,Partly couldy
5/15/2009,30,26,17,43,82,1.1,1008,Partly couldy
5/16/2009,29,26,16,57,85,0,1009,Partly couldy
5/17/2009,29,26,15,44,84,0.2,1009,Partly couldy
5/18/2009,29,26,16,37,83,0.2,1009,Partly couldy
5/19/2009,29,26,19,52,85,0.8,1009,Partly couldy
5/20/2009,28,26,21,68,85,0.1,1008,Cloudy
5/21/2009,28,25,20,66,86,2.7,1008,Light rain shower
5/22/2009,28,25,22,83,87,2.9,1008,Cloudy
5/23/2009,26,25,24,90,90,0.4,1007,Overcast
5/24/2009,27,25,24,35,89,1.3,1006,Overcast
5/25/2009,28,25,21,80,87,0,1006,Cloudy
5/26/2009,28,25,19,66,85,0.1,1006,Partly couldy
5/27/2009,28,26,22,55,85,1.9,1007,Partly couldy
5/28/2009,30,26,17,42,81,0.4,1008,Partly couldy
5/29/2009,28,26,21,54,84,0.4,1008,Partly couldy
5/30/2009,28,25,19,77,88,0.5,1009,Cloudy
5/31/2009,27,25,19,66,91,2.4,1009,Cloudy
6/1/2009,28,25,16,39,90,0.3,1010,Partly couldy
6/2/2009,29,26,18,27,84,0.1,1011,Partly couldy
6/3/2009,29,26,19,44,86,0.1,1011,Partly couldy
6/4/2009,28,25,20,71,89,0.7,1010,Cloudy
6/5/2009,27,25,23,79,90,1,1010,Cloudy
6/6/2009,28,25,21,34,83,0.3,1010,Partly couldy
6/7/2009,28,25,21,50,85,0.1,1010,Partly couldy
6/8/2009,29,25,20,38,83,0,1010,Partly couldy
6/9/2009,28,25,22,52,86,0.8,1010,Partly couldy
6/10/2009,28,25,20,68,86,1.3,1010,Cloudy
6/11/2009,27,25,19,78,86,0,1011,Overcast
6/12/2009,28,25,16,51,84,0,1010,Partly couldy
6/13/2009,28,26,16,27,85,1.6,1012,Sunny
6/14/2009,29,25,16,23,83,1.5,1012,Sunny
6/15/2009,29,25,17,31,83,0.3,1011,Partly couldy
6/16/2009,28,25,17,35,84,0,1010,Partly couldy
6/17/2009,28,25,18,5,85,3.6,1009,Partly couldy
6/18/2009,27,25,20,71,86,2.5,1009,Cloudy
6/19/2009,27,25,16,67,88,2.7,1009,Partly couldy
6/20/2009,28,25,15,41,84,0.6,1010,Partly couldy
6/21/2009,29,25,15,34,82,0,1010,Partly couldy
6/22/2009,28,25,16,49,84,0,1010,Partly couldy
6/23/2009,28,25,16,60,86,0.2,1009,Partly couldy
6/24/2009,27,25,19,76,88,1.1,1009,Cloudy
6/25/2009,28,25,22,65,85,1.2,1009,Cloudy
6/26/2009,28,25,21,62,83,0,1009,Partly couldy
6/27/2009,26,25,20,72,87,1.3,1009,Partly couldy
6/28/2009,28,25,20,71,86,0.2,1008,Partly couldy
6/29/2009,27,25,21,73,86,0,1008,Cloudy
6/30/2009,28,25,21,61,84,0,1010,Thundery outbreaks possible
7/1/2009,29,25,22,49,80,0,1010,Partly couldy
7/2/2009,29,25,21,47,80,0,1010,Partly couldy
7/3/2009,29,25,21,41,79,0,1009,Partly couldy
7/4/2009,29,25,20,56,81,0,1008,Cloudy
7/5/2009,8,25,16,44,84,0.2,1009,Partly couldy
7/6/2009,28,25,16,56,84,0.2,1009,Partly couldy
7/7/2009,29,25,15,31,81,0,1010,Partly couldy
7/8/2009,28,25,16,34,83,0.4,1010,Partly couldy
7/9/2009,29,25,16,36,79,0,1010,Sunny
7/10/2009,29,25,15,20,80,0.1,1010,Sunny
7/11/2009,29,26,13,26,82,1.2,1011,Sunny
7/12/2009,30,26,16,11,78,0,1010,Sunny
7/13/2009,29,26,21,31,80,0.8,1009,Patchy rain possible
7/14/2009,28,25,22,49,84,0.7,1009,Partly couldy
7/15/2009,27,25,18,53,87,2.6,1010,Partly couldy
7/16/2009,28,25,18,52,84,0.1,1010,Partly couldy
7/17/2009,28,25,17,51,85,1.8,1009,Partly couldy
7/18/2009,28,25,18,38,79,0,1010,Partly couldy
7/19/2009,29,26,19,39,80,0.2,1011,Partly couldy
7/20/2009,29,26,21,23,78,0,1010,Sunny
7/21/2009,29,26,23,25,78,0,1011,Sunny
7/22/2009,29,25,21,44,79,0,1010,Partly couldy
7/23/2009,29,26,19,28,78,0.1,1010,Sunny
7/24/2009,30,26,18,33,78,0,1010,Partly couldy
7/25/2009,30,26,18,24,78,1,1010,Sunny
7/26/2009,29,26,20,27,81,0.6,1010,Sunny
7/27/2009,27,25,19,35,85,0.2,1010,Thundery outbreaks possible
7/28/2009,28,25,17,51,84,0.4,1011,Partly couldy
7/29/2009,29,25,12,34,82,1.1,1011,Sunny
7/30/2009,27,25,14,54,87,1.3,1012,Partly couldy
7/31/2009,29,25,16,54,84,0,1011,Partly couldy
8/1/2009,27,25,24,95,89,1.3,1006,Overcast
8/2/2009,29,25,18,37,81,0,1010,Partly couldy
8/3/2009,29,26,19,32,81,0.3,1010,Partly couldy
8/4/2009,28,26,22,59,83,1.3,1011,Light rain shower
8/5/2009,29,25,19,53,81,0.9,1010,Partly couldy
8/6/2009,27,25,21,68,86,1.6,1010,Light rain shower
